phase,layer,expert,load,matrix_ops,cycle_source,cycle_delta,run,source_file,line_number,cycles_per_token
prefill,0,0,25,3,rdtsc,104932100,run_001:granite-1b-expert.log,/home/classified56/llama.cpp/granite-1b-expert.log,2870,4197284.0
prefill,0,1,5,3,rdtsc,21162458,run_001:granite-1b-expert.log,/home/classified56/llama.cpp/granite-1b-expert.log,2871,4232491.6
prefill,0,2,16,3,rdtsc,67134741,run_001:granite-1b-expert.log,/home/classified56/llama.cpp/granite-1b-expert.log,2872,4195921.3125
prefill,0,3,16,3,rdtsc,67034896,run_001:granite-1b-expert.log,/home/classified56/llama.cpp/granite-1b-expert.log,2873,4189681.0
prefill,0,4,20,3,rdtsc,84501334,run_001:granite-1b-expert.log,/home/classified56/llama.cpp/granite-1b-expert.log,2874,4225066.7
prefill,0,5,9,3,rdtsc,37817450,run_001:granite-1b-expert.log,/home/classified56/llama.cpp/granite-1b-expert.log,2875,4201938.888888889
prefill,0,6,16,3,rdtsc,67079139,run_001:granite-1b-expert.log,/home/classified56/llama.cpp/granite-1b-expert.log,2876,4192446.1875
prefill,0,7,23,3,rdtsc,96566108,run_001:granite-1b-expert.log,/home/classified56/llama.cpp/granite-1b-expert.log,2877,4198526.434782608
prefill,0,8,10,3,rdtsc,42345631,run_001:granite-1b-expert.log,/home/classified56/llama.cpp/granite-1b-expert.log,2878,4234563.1
prefill,0,9,6,3,rdtsc,25408822,run_001:granite-1b-expert.log,/home/classified56/llama.cpp/granite-1b-expert.log,2879,4234803.666666667
prefill,0,10,6,3,rdtsc,25180429,run_001:granite-1b-expert.log,/home/classified56/llama.cpp/granite-1b-expert.log,2880,4196738.166666667
prefill,0,11,11,3,rdtsc,46340919,run_001:granite-1b-expert.log,/home/classified56/llama.cpp/granite-1b-expert.log,2881,4212810.818181818
prefill,0,12,9,3,rdtsc,37775502,run_001:granite-1b-expert.log,/home/classified56/llama.cpp/granite-1b-expert.log,2882,4197278.0
prefill,0,13,11,3,rdtsc,47346614,run_001:granite-1b-expert.log,/home/classified56/llama.cpp/granite-1b-expert.log,2883,4304237.636363637
prefill,0,14,16,3,rdtsc,67284270,run_001:granite-1b-expert.log,/home/classified56/llama.cpp/granite-1b-expert.log,2884,4205266.875
prefill,0,15,5,3,rdtsc,21746544,run_001:granite-1b-expert.log,/home/classified56/llama.cpp/granite-1b-expert.log,2885,4349308.8
prefill,0,16,25,3,rdtsc,104186354,run_001:granite-1b-expert.log,/home/classified56/llama.cpp/granite-1b-expert.log,2886,4167454.16
prefill,0,17,14,3,rdtsc,58535628,run_001:granite-1b-expert.log,/home/classified56/llama.cpp/granite-1b-expert.log,2887,4181116.285714286
prefill,0,18,5,3,rdtsc,21090106,run_001:granite-1b-expert.log,/home/classified56/llama.cpp/granite-1b-expert.log,2888,4218021.2
prefill,0,19,14,3,rdtsc,59306029,run_001:granite-1b-expert.log,/home/classified56/llama.cpp/granite-1b-expert.log,2889,4236144.928571428
prefill,0,20,9,3,rdtsc,38281751,run_001:granite-1b-expert.log,/home/classified56/llama.cpp/granite-1b-expert.log,2890,4253527.888888889
prefill,0,21,26,3,rdtsc,110667341,run_001:granite-1b-expert.log,/home/classified56/llama.cpp/granite-1b-expert.log,2891,4256436.192307692
prefill,0,22,13,3,rdtsc,55130542,run_001:granite-1b-expert.log,/home/classified56/llama.cpp/granite-1b-expert.log,2892,4240810.923076923
prefill,0,23,12,3,rdtsc,50715008,run_001:granite-1b-expert.log,/home/classified56/llama.cpp/granite-1b-expert.log,2893,4226250.666666667
prefill,0,24,7,3,rdtsc,29699555,run_001:granite-1b-expert.log,/home/classified56/llama.cpp/granite-1b-expert.log,2894,4242793.571428572
prefill,0,25,22,3,rdtsc,93853668,run_001:granite-1b-expert.log,/home/classified56/llama.cpp/granite-1b-expert.log,2895,4266075.818181818
prefill,0,26,12,3,rdtsc,50759575,run_001:granite-1b-expert.log,/home/classified56/llama.cpp/granite-1b-expert.log,2896,4229964.583333333
prefill,0,27,12,3,rdtsc,50640081,run_001:granite-1b-expert.log,/home/classified56/llama.cpp/granite-1b-expert.log,2897,4220006.75
prefill,0,28,13,3,rdtsc,54538043,run_001:granite-1b-expert.log,/home/classified56/llama.cpp/granite-1b-expert.log,2898,4195234.076923077
prefill,0,29,14,3,rdtsc,58401913,run_001:granite-1b-expert.log,/home/classified56/llama.cpp/granite-1b-expert.log,2899,4171565.214285714
