phase,layer,expert,samples,load_mean,load_std,cycles_mean,cycles_std,cycles_per_token_mean,cycles_per_token_std,cycles_per_token_min,cycles_per_token_max,cycles_per_token_cv
prefill,0,0,1,25.0,,104932100.0,,4197284.0,,4197284.0,4197284.0,
prefill,0,1,1,5.0,,21162458.0,,4232491.6,,4232491.6,4232491.6,
prefill,0,2,1,16.0,,67134741.0,,4195921.3125,,4195921.3125,4195921.3125,
prefill,0,3,1,16.0,,67034896.0,,4189681.0,,4189681.0,4189681.0,
prefill,0,4,1,20.0,,84501334.0,,4225066.7,,4225066.7,4225066.7,
prefill,0,5,1,9.0,,37817450.0,,4201938.888888889,,4201938.888888889,4201938.888888889,
prefill,0,6,1,16.0,,67079139.0,,4192446.1875,,4192446.1875,4192446.1875,
prefill,0,7,1,23.0,,96566108.0,,4198526.434782608,,4198526.434782608,4198526.434782608,
prefill,0,8,1,10.0,,42345631.0,,4234563.1,,4234563.1,4234563.1,
prefill,0,9,1,6.0,,25408822.0,,4234803.666666667,,4234803.666666667,4234803.666666667,
prefill,0,10,1,6.0,,25180429.0,,4196738.166666667,,4196738.166666667,4196738.166666667,
prefill,0,11,1,11.0,,46340919.0,,4212810.818181818,,4212810.818181818,4212810.818181818,
prefill,0,12,1,9.0,,37775502.0,,4197278.0,,4197278.0,4197278.0,
prefill,0,13,1,11.0,,47346614.0,,4304237.636363637,,4304237.636363637,4304237.636363637,
prefill,0,14,1,16.0,,67284270.0,,4205266.875,,4205266.875,4205266.875,
prefill,0,15,1,5.0,,21746544.0,,4349308.8,,4349308.8,4349308.8,
prefill,0,16,1,25.0,,104186354.0,,4167454.16,,4167454.16,4167454.16,
prefill,0,17,1,14.0,,58535628.0,,4181116.285714286,,4181116.285714286,4181116.285714286,
prefill,0,18,1,5.0,,21090106.0,,4218021.2,,4218021.2,4218021.2,
prefill,0,19,1,14.0,,59306029.0,,4236144.928571428,,4236144.928571428,4236144.928571428,
prefill,0,20,1,9.0,,38281751.0,,4253527.888888889,,4253527.888888889,4253527.888888889,
prefill,0,21,1,26.0,,110667341.0,,4256436.192307692,,4256436.192307692,4256436.192307692,
prefill,0,22,1,13.0,,55130542.0,,4240810.923076923,,4240810.923076923,4240810.923076923,
prefill,0,23,1,12.0,,50715008.0,,4226250.666666667,,4226250.666666667,4226250.666666667,
prefill,0,24,1,7.0,,29699555.0,,4242793.571428572,,4242793.571428572,4242793.571428572,
prefill,0,25,1,22.0,,93853668.0,,4266075.818181818,,4266075.818181818,4266075.818181818,
prefill,0,26,1,12.0,,50759575.0,,4229964.583333333,,4229964.583333333,4229964.583333333,
prefill,0,27,1,12.0,,50640081.0,,4220006.75,,4220006.75,4220006.75,
prefill,0,28,1,13.0,,54538043.0,,4195234.076923077,,4195234.076923077,4195234.076923077,
prefill,0,29,1,14.0,,58401913.0,,4171565.214285714,,4171565.214285714,4171565.214285714,
prefill,0,30,1,18.0,,75533757.0,,4196319.833333333,,4196319.833333333,4196319.833333333,
prefill,0,31,1,36.0,,150592333.0,,4183120.361111111,,4183120.361111111,4183120.361111111,
prefill,1,1,1,42.0,,176442527.0,,4201012.547619048,,4201012.547619048,4201012.547619048,
prefill,1,2,1,5.0,,21191331.0,,4238266.2,,4238266.2,4238266.2,
prefill,1,3,1,27.0,,113832854.0,,4216031.62962963,,4216031.62962963,4216031.62962963,
prefill,1,4,1,10.0,,42102510.0,,4210251.0,,4210251.0,4210251.0,
prefill,1,6,1,12.0,,50384097.0,,4198674.75,,4198674.75,4198674.75,
prefill,1,8,1,57.0,,241289389.0,,4233147.175438597,,4233147.175438597,4233147.175438597,
prefill,1,9,1,1.0,,4713309.0,,4713309.0,,4713309.0,4713309.0,
prefill,1,11,1,1.0,,4680600.0,,4680600.0,,4680600.0,4680600.0,
prefill,1,13,1,57.0,,241099775.0,,4229820.614035088,,4229820.614035088,4229820.614035088,
prefill,1,14,1,26.0,,109947351.0,,4228744.269230769,,4228744.269230769,4228744.269230769,
prefill,1,15,1,1.0,,4625660.0,,4625660.0,,4625660.0,4625660.0,
prefill,1,17,1,1.0,,4703568.0,,4703568.0,,4703568.0,4703568.0,
prefill,1,18,1,2.0,,8737408.0,,4368704.0,,4368704.0,4368704.0,
prefill,1,19,1,57.0,,241049873.0,,4228945.140350877,,4228945.140350877,4228945.140350877,
prefill,1,20,1,23.0,,96928685.0,,4214290.652173913,,4214290.652173913,4214290.652173913,
prefill,1,21,1,11.0,,46690280.0,,4244570.909090909,,4244570.909090909,4244570.909090909,
prefill,1,22,1,1.0,,4905026.0,,4905026.0,,4905026.0,4905026.0,
prefill,1,23,1,21.0,,89077638.0,,4241792.285714285,,4241792.285714285,4241792.285714285,
prefill,1,24,1,2.0,,8619089.0,,4309544.5,,4309544.5,4309544.5,
prefill,1,25,1,29.0,,122559472.0,,4226188.689655173,,4226188.689655173,4226188.689655173,
prefill,1,26,1,5.0,,21134806.0,,4226961.2,,4226961.2,4226961.2,
prefill,1,27,1,2.0,,8633843.0,,4316921.5,,4316921.5,4316921.5,
prefill,1,28,1,7.0,,29948641.0,,4278377.285714285,,4278377.285714285,4278377.285714285,
prefill,1,29,1,15.0,,63066580.0,,4204438.666666667,,4204438.666666667,4204438.666666667,
prefill,1,30,1,23.0,,96889090.0,,4212569.130434782,,4212569.130434782,4212569.130434782,
prefill,1,31,1,18.0,,75401573.0,,4188976.277777778,,4188976.277777778,4188976.277777778,
prefill,2,0,1,11.0,,46776815.0,,4252437.7272727275,,4252437.7272727275,4252437.7272727275,
prefill,2,1,1,37.0,,154694616.0,,4180935.5675675673,,4180935.5675675673,4180935.5675675673,
prefill,2,2,1,3.0,,12680054.0,,4226684.666666667,,4226684.666666667,4226684.666666667,
prefill,2,3,1,1.0,,4638761.0,,4638761.0,,4638761.0,4638761.0,
prefill,2,4,1,6.0,,25079675.0,,4179945.8333333335,,4179945.8333333335,4179945.8333333335,
prefill,2,5,1,47.0,,195531366.0,,4160241.829787234,,4160241.829787234,4160241.829787234,
prefill,2,6,1,3.0,,12747314.0,,4249104.666666667,,4249104.666666667,4249104.666666667,
prefill,2,7,1,1.0,,4708914.0,,4708914.0,,4708914.0,4708914.0,
prefill,2,8,1,10.0,,42142911.0,,4214291.1,,4214291.1,4214291.1,
prefill,2,9,1,6.0,,25315038.0,,4219173.0,,4219173.0,4219173.0,
prefill,2,11,1,6.0,,25331570.0,,4221928.333333333,,4221928.333333333,4221928.333333333,
prefill,2,12,1,6.0,,25216209.0,,4202701.5,,4202701.5,4202701.5,
prefill,2,13,1,1.0,,4622894.0,,4622894.0,,4622894.0,4622894.0,
prefill,2,14,1,2.0,,8654449.0,,4327224.5,,4327224.5,4327224.5,
prefill,2,15,1,4.0,,16970415.0,,4242603.75,,4242603.75,4242603.75,
prefill,2,17,1,10.0,,42447050.0,,4244705.0,,4244705.0,4244705.0,
prefill,2,18,1,33.0,,139948370.0,,4240859.696969697,,4240859.696969697,4240859.696969697,
prefill,2,19,1,1.0,,4614125.0,,4614125.0,,4614125.0,4614125.0,
prefill,2,20,1,9.0,,37993570.0,,4221507.777777778,,4221507.777777778,4221507.777777778,
prefill,2,22,1,25.0,,106136540.0,,4245461.6,,4245461.6,4245461.6,
prefill,2,23,1,10.0,,42381192.0,,4238119.2,,4238119.2,4238119.2,
prefill,2,24,1,57.0,,240033054.0,,4211106.2105263155,,4211106.2105263155,4211106.2105263155,
prefill,2,25,1,4.0,,17036653.0,,4259163.25,,4259163.25,4259163.25,
prefill,2,26,1,57.0,,238709004.0,,4187877.263157895,,4187877.263157895,4187877.263157895,
