phase,layer,expert,load,matrix_ops,cycle_source,cycle_delta,run,source_file,line_number,cycles_per_token
prefill,0,0,10,1,rdtsc,199839589,run_001:phi-mini-expert.log,/home/classified56/llama.cpp/phi-mini-expert.log,577,19983958.9
prefill,0,1,12,1,rdtsc,238389217,run_001:phi-mini-expert.log,/home/classified56/llama.cpp/phi-mini-expert.log,578,19865768.083333332
prefill,0,2,6,1,rdtsc,116824502,run_001:phi-mini-expert.log,/home/classified56/llama.cpp/phi-mini-expert.log,579,19470750.333333332
prefill,0,3,7,1,rdtsc,139428310,run_001:phi-mini-expert.log,/home/classified56/llama.cpp/phi-mini-expert.log,580,19918330.0
prefill,0,4,9,1,rdtsc,175681013,run_001:phi-mini-expert.log,/home/classified56/llama.cpp/phi-mini-expert.log,581,19520112.555555556
prefill,0,5,2,1,rdtsc,39409156,run_001:phi-mini-expert.log,/home/classified56/llama.cpp/phi-mini-expert.log,582,19704578.0
prefill,0,6,2,1,rdtsc,39535454,run_001:phi-mini-expert.log,/home/classified56/llama.cpp/phi-mini-expert.log,583,19767727.0
prefill,0,7,2,1,rdtsc,39896354,run_001:phi-mini-expert.log,/home/classified56/llama.cpp/phi-mini-expert.log,584,19948177.0
prefill,0,8,10,1,rdtsc,200572413,run_001:phi-mini-expert.log,/home/classified56/llama.cpp/phi-mini-expert.log,585,20057241.3
prefill,0,9,2,1,rdtsc,39426353,run_001:phi-mini-expert.log,/home/classified56/llama.cpp/phi-mini-expert.log,586,19713176.5
prefill,0,10,10,1,rdtsc,197482379,run_001:phi-mini-expert.log,/home/classified56/llama.cpp/phi-mini-expert.log,587,19748237.9
prefill,0,11,20,1,rdtsc,392352574,run_001:phi-mini-expert.log,/home/classified56/llama.cpp/phi-mini-expert.log,588,19617628.7
prefill,0,12,2,1,rdtsc,39411314,run_001:phi-mini-expert.log,/home/classified56/llama.cpp/phi-mini-expert.log,589,19705657.0
prefill,0,13,1,1,rdtsc,20047572,run_001:phi-mini-expert.log,/home/classified56/llama.cpp/phi-mini-expert.log,590,20047572.0
prefill,0,14,5,1,rdtsc,98081134,run_001:phi-mini-expert.log,/home/classified56/llama.cpp/phi-mini-expert.log,591,19616226.8
prefill,0,15,12,1,rdtsc,234319372,run_001:phi-mini-expert.log,/home/classified56/llama.cpp/phi-mini-expert.log,592,19526614.333333332
