phase,layer,expert,samples,load_mean,load_std,cycles_mean,cycles_std,cycles_per_token_mean,cycles_per_token_std,cycles_per_token_min,cycles_per_token_max,cycles_per_token_cv
prefill,0,0,1,10.0,,199839589.0,,19983958.9,,19983958.9,19983958.9,
prefill,0,1,1,12.0,,238389217.0,,19865768.083333332,,19865768.083333332,19865768.083333332,
prefill,0,2,1,6.0,,116824502.0,,19470750.333333332,,19470750.333333332,19470750.333333332,
prefill,0,3,1,7.0,,139428310.0,,19918330.0,,19918330.0,19918330.0,
prefill,0,4,1,9.0,,175681013.0,,19520112.555555556,,19520112.555555556,19520112.555555556,
prefill,0,5,1,2.0,,39409156.0,,19704578.0,,19704578.0,19704578.0,
prefill,0,6,1,2.0,,39535454.0,,19767727.0,,19767727.0,19767727.0,
prefill,0,7,1,2.0,,39896354.0,,19948177.0,,19948177.0,19948177.0,
prefill,0,8,1,10.0,,200572413.0,,20057241.3,,20057241.3,20057241.3,
prefill,0,9,1,2.0,,39426353.0,,19713176.5,,19713176.5,19713176.5,
prefill,0,10,1,10.0,,197482379.0,,19748237.9,,19748237.9,19748237.9,
prefill,0,11,1,20.0,,392352574.0,,19617628.7,,19617628.7,19617628.7,
prefill,0,12,1,2.0,,39411314.0,,19705657.0,,19705657.0,19705657.0,
prefill,0,13,1,1.0,,20047572.0,,20047572.0,,20047572.0,20047572.0,
prefill,0,14,1,5.0,,98081134.0,,19616226.8,,19616226.8,19616226.8,
prefill,0,15,1,12.0,,234319372.0,,19526614.333333332,,19526614.333333332,19526614.333333332,
prefill,1,0,1,10.0,,195007240.0,,19500724.0,,19500724.0,19500724.0,
prefill,1,1,1,8.0,,155758652.0,,19469831.5,,19469831.5,19469831.5,
prefill,1,2,1,11.0,,214424223.0,,19493111.181818184,,19493111.181818184,19493111.181818184,
prefill,1,3,1,1.0,,20091503.0,,20091503.0,,20091503.0,20091503.0,
prefill,1,4,1,22.0,,428807155.0,,19491234.318181816,,19491234.318181816,19491234.318181816,
prefill,1,5,1,10.0,,195313501.0,,19531350.1,,19531350.1,19531350.1,
prefill,1,6,1,5.0,,98768011.0,,19753602.2,,19753602.2,19753602.2,
prefill,1,7,1,2.0,,39931411.0,,19965705.5,,19965705.5,19965705.5,
prefill,1,8,1,10.0,,195446831.0,,19544683.1,,19544683.1,19544683.1,
prefill,1,9,1,6.0,,117636059.0,,19606009.833333332,,19606009.833333332,19606009.833333332,
prefill,1,10,1,3.0,,59091495.0,,19697165.0,,19697165.0,19697165.0,
prefill,1,11,1,6.0,,117444934.0,,19574155.666666668,,19574155.666666668,19574155.666666668,
prefill,1,12,1,4.0,,78189732.0,,19547433.0,,19547433.0,19547433.0,
prefill,1,13,1,5.0,,97911213.0,,19582242.6,,19582242.6,19582242.6,
prefill,1,14,1,3.0,,58637980.0,,19545993.333333332,,19545993.333333332,19545993.333333332,
prefill,1,15,1,6.0,,119028232.0,,19838038.666666668,,19838038.666666668,19838038.666666668,
prefill,2,0,1,3.0,,58783605.0,,19594535.0,,19594535.0,19594535.0,
prefill,2,1,1,12.0,,234099067.0,,19508255.583333332,,19508255.583333332,19508255.583333332,
prefill,2,2,1,4.0,,78259245.0,,19564811.25,,19564811.25,19564811.25,
prefill,2,3,1,2.0,,39606700.0,,19803350.0,,19803350.0,19803350.0,
prefill,2,4,1,4.0,,78308326.0,,19577081.5,,19577081.5,19577081.5,
prefill,2,5,1,9.0,,175198677.0,,19466519.666666668,,19466519.666666668,19466519.666666668,
prefill,2,6,1,17.0,,331780938.0,,19516525.76470588,,19516525.76470588,19516525.76470588,
prefill,2,7,1,6.0,,117360387.0,,19560064.5,,19560064.5,19560064.5,
prefill,2,8,1,3.0,,58639181.0,,19546393.666666668,,19546393.666666668,19546393.666666668,
prefill,2,9,1,3.0,,58740004.0,,19580001.333333332,,19580001.333333332,19580001.333333332,
prefill,2,10,1,1.0,,20036106.0,,20036106.0,,20036106.0,20036106.0,
prefill,2,11,1,6.0,,117200537.0,,19533422.833333332,,19533422.833333332,19533422.833333332,
prefill,2,12,1,10.0,,196670409.0,,19667040.9,,19667040.9,19667040.9,
